,Node,Time,Value
0,n_319,1,-3031.05710836272
1,n_319,2,-2909.762464020575
2,n_319,3,-2482.413791177499
3,n_319,4,-2456.557810433301
4,n_319,5,-2544.1549488529536
5,n_319,6,-2724.4788272895394
6,n_319,7,-2733.914742617045
7,n_319,8,-2697.9025056615474
8,n_319,9,-2778.202999163835
9,n_319,10,-2725.173218410233
10,n_319,11,-2484.2421098584805
11,n_319,12,-2396.7287636456904
12,n_319,13,-2187.7781449380354
13,n_319,14,-1827.466794798872
14,n_319,15,-1652.2960743350454
15,n_319,16,-1686.4026277866667
16,n_319,17,-1957.1382504158382
17,n_319,18,-2189.5679045851457
18,n_319,19,-2249.174457618932
19,n_319,20,-2491.5352970370923
20,n_319,21,-2518.467736656843
21,n_319,22,-2692.40931644812
22,n_319,23,-2867.9758531383095
23,n_319,24,-2884.971372268513
24,n_321,1,-10803.112059326044
25,n_321,2,-10331.638839869509
26,n_321,3,-9830.782788181146
27,n_321,4,-9743.660171119418
28,n_321,5,-9998.069286945773
29,n_321,6,-10219.388435900815
30,n_321,7,-10317.957790628041
31,n_321,8,-10251.920323387843
32,n_321,9,-10226.052300235082
33,n_321,10,-9862.366943126272
34,n_321,11,-9387.962694834474
35,n_321,12,-9091.79986335578
36,n_321,13,-8372.695469118675
37,n_321,14,-7750.248852185341
38,n_321,15,-7510.169985968977
39,n_321,16,-7642.44118252714
40,n_321,17,-7927.574376330975
41,n_321,18,-8278.020081745068
42,n_321,19,-8614.63804203552
43,n_321,20,-9343.19299179769
44,n_321,21,-9701.09595309005
45,n_321,22,-10136.528423024418
46,n_321,23,-10406.58613575693
47,n_321,24,-10478.516180318005
48,n_322,1,-3025.9564304802857
49,n_322,2,-2892.87038522357
50,n_322,3,-2519.63192427202
51,n_322,4,-2518.404912700928
52,n_322,5,-2577.816739181013
53,n_322,6,-2766.4278123279746
54,n_322,7,-2746.620590804956
55,n_322,8,-2725.3819519677218
56,n_322,9,-2812.4677129218553
57,n_322,10,-2809.262138232106
58,n_322,11,-2578.946138990552
59,n_322,12,-2529.5035118849983
60,n_322,13,-2339.954275831135
61,n_322,14,-1995.858518279872
62,n_322,15,-1826.3270795625074
63,n_322,16,-1844.1008854793988
64,n_322,17,-2103.853980303429
65,n_322,18,-2325.832795758946
66,n_322,19,-2398.4933351473273
67,n_322,20,-2617.055628569486
68,n_322,21,-2597.2850987055185
69,n_322,22,-2724.8731614581643
70,n_322,23,-2908.0045212632676
71,n_322,24,-2902.548409998082
72,n_323,1,-1815.1438231224358
73,n_323,2,328.43394739668383
74,n_323,3,1583.5837828256058
75,n_323,4,-1924.3073497162418
76,n_323,5,-1578.9727464296575
77,n_323,6,-2219.4997654741383
78,n_323,7,-101.42061932558727
79,n_323,8,308.2121472282379
80,n_323,9,-36.78358908038717
81,n_323,10,-1467.0372966383288
82,n_323,11,1304.5294690804662
83,n_323,12,1258.7469025037017
84,n_323,13,-2398.213348200923
85,n_323,14,1612.0035354292295
86,n_323,15,-606.6903169956249
87,n_323,16,-1154.4572044310642
88,n_323,17,-646.4707321028509
89,n_323,18,-787.0008326320815
90,n_323,19,-865.5869548852731
91,n_323,20,-1360.651340563107
92,n_323,21,-1122.4909980905368
93,n_323,22,-2977.850718141156
94,n_323,23,258.1068580601109
95,n_323,24,-124.391390203225
96,n_324,1,-4104.644663403617
97,n_324,2,-3896.9134173734355
98,n_324,3,-3521.1761487557733
99,n_324,4,-3518.3366317929563
100,n_324,5,-3609.8773586050124
101,n_324,6,-3805.457181566584
102,n_324,7,-3777.9635128314667
103,n_324,8,-3745.834051633762
104,n_324,9,-3841.608185741885
105,n_324,10,-3783.696635308295
106,n_324,11,-3513.988850399219
107,n_324,12,-3440.9284147703984
108,n_324,13,-3201.657819004146
109,n_324,14,-2792.9326021536517
110,n_324,15,-2623.68277760747
111,n_324,16,-2657.546689719574
112,n_324,17,-2915.9698052737685
113,n_324,18,-3145.0909891738934
114,n_324,19,-3261.4326632482894
115,n_324,20,-3551.2817448798996
116,n_324,21,-3564.512633579016
117,n_324,22,-3744.3590787993353
118,n_324,23,-3927.927435430314
119,n_324,24,-3934.879005120973
120,n_333,1,-4729.633323752842
121,n_333,2,-4527.404660753999
122,n_333,3,-4087.613252532912
123,n_333,4,-4108.682021332141
124,n_333,5,-4215.936086915759
125,n_333,6,-4384.166337911363
126,n_333,7,-4378.729391317205
127,n_333,8,-4351.002331716759
128,n_333,9,-4435.171560013845
129,n_333,10,-4371.497794052921
130,n_333,11,-4073.8471939635083
131,n_333,12,-3988.11536624008
132,n_333,13,-3666.035517027759
133,n_333,14,-3276.5245666756527
134,n_333,15,-3078.8456930942602
135,n_333,16,-3124.4525358543065
136,n_333,17,-3365.6780201103206
137,n_333,18,-3643.1120559929104
138,n_333,19,-3765.2009479911912
139,n_333,20,-4092.656360685785
140,n_333,21,-4138.623634392617
141,n_333,22,-4351.799852803446
142,n_333,23,-4534.051585048815
143,n_333,24,-4558.99012795728
144,n_334,1,-3568.8913377880563
145,n_334,2,-3417.3286902219043
146,n_334,3,-3016.7651712777724
147,n_334,4,-3026.884820226307
148,n_334,5,-3102.409027061003
149,n_334,6,-3284.1276713013335
150,n_334,7,-3272.472626035871
151,n_334,8,-3247.138576617822
152,n_334,9,-3332.140088711154
153,n_334,10,-3305.233387768079
154,n_334,11,-3051.0739333894703
155,n_334,12,-2991.126884131421
156,n_334,13,-2759.3235864596245
157,n_334,14,-2399.151953409877
158,n_334,15,-2221.7020163757425
159,n_334,16,-2248.2171952934605
160,n_334,17,-2503.45743165853
161,n_334,18,-2748.5081783881283
162,n_334,19,-2833.0490608319083
163,n_334,20,-3086.3878770372476
164,n_334,21,-3086.0754115200843
165,n_334,22,-3243.2644803858498
166,n_334,23,-3424.912181799099
167,n_334,24,-3426.081325586263
168,n_1500,1,-1790.8498623364787
169,n_1500,2,-1672.3670658412782
170,n_1500,3,-1485.9180296001152
171,n_1500,4,-1485.6847843662106
172,n_1500,5,-1479.7716558286554
173,n_1500,6,-1586.132163045094
174,n_1500,7,-1593.5531319475415
175,n_1500,8,-1599.4485025175416
176,n_1500,9,-1584.497705249447
177,n_1500,10,-1601.3247805429176
178,n_1500,11,-1471.8469896128474
179,n_1500,12,-1461.754504152148
180,n_1500,13,-1375.3327677568184
181,n_1500,14,-1175.9627126345347
182,n_1500,15,-1076.1138569747473
183,n_1500,16,-1091.1639701526483
184,n_1500,17,-1259.979009618859
185,n_1500,18,-1399.5545477265478
186,n_1500,19,-1411.7001560974095
187,n_1500,20,-1476.8253093748358
188,n_1500,21,-1473.2517545666283
189,n_1500,22,-1585.0629402311772
190,n_1500,23,-1692.4203364025495
191,n_1500,24,-1697.4017431284026
192,n_1514,1,-2356.77867623778
193,n_1514,2,-2172.7777928018877
194,n_1514,3,-1902.9986748271376
195,n_1514,4,-1884.5867481573034
196,n_1514,5,-1902.3915985350677
197,n_1514,6,-2091.1424947597097
198,n_1514,7,-2096.6276121911706
199,n_1514,8,-2065.9158987617097
200,n_1514,9,-2097.8040486460627
201,n_1514,10,-2091.665447885579
202,n_1514,11,-1868.4730226311876
