AvalonHydropower,Blewett,Bridgewater,CowansFord,FallsHydro,HawRiverHydro,HighRockHydro,HighShoalsHydroNC,JordanHydroelectricProject,LookoutShoals,MountainIsland,NarrowsNC,OxfordDam,Rhodhiss,TuckertownHydro,Gaston,LockvilleHydropower,RoanokeRapids,RockyMountMill,Tillery,BearCreekDam,CedarCliff,Chatuge,Cheoah,FontanaDam,FranklinNC,HiwasseeDam,IvyRiverHydro,LakeLure,MarshallDam,MetropolitanSewerageDistrict,Mission,Nantahala,QueensCreek,Santeetlah,TennesseeCreek,Thorpe,Tuckasegee,TurnerShoals,Tuxedo,Walters
0.752400142,59.31421121,17.36790328,219.4500415,19.68780372,0.940500178,20.69100391,1.128600213,2.758800522,16.17660306,37.62000711,68.2176129,22.57200427,15.98850302,26.33400498,30.70472009,0.207464325,17.28869374,0.2766191,14.52250274,0.669686186,0.476221288,0.982206406,16.37010676,18.95211906,0.074409576,12.32222582,0.089291491,0.267874474,0.372047881,0.178582983,0.133937237,3.214493691,0.104173407,3.348430929,0.803623423,1.607246846,0.223228729,0.401811711,0.372047881,8.036234228
0.402512741,31.73142112,9.291335783,117.3995496,10.53241674,0.503140927,11.06910039,0.603769112,1.475880052,8.654023942,20.12563707,36.49448856,12.07538224,8.553395757,14.08794595,30.70472009,0.207464325,17.28869374,0.2766191,14.52250274,0.669686186,0.476221288,0.982206406,16.37010676,18.95211906,0.074409576,12.32222582,0.089291491,0.267874474,0.372047881,0.178582983,0.133937237,3.214493691,0.104173407,3.348430929,0.803623423,1.607246846,0.223228729,0.401811711,0.372047881,8.036234228
0.078226858,6.166883963,1.805736636,22.81616688,2.046936115,0.097783572,2.151238592,0.117340287,0.286831812,1.681877445,3.911342894,7.092568449,2.346805737,1.66232073,2.737940026,35.09110867,0.237102086,19.75850714,0.316136114,16.59714599,0.669686186,0.476221288,0.982206406,16.37010676,18.95211906,0.074409576,12.32222582,0.089291491,0.267874474,0.372047881,0.178582983,0.133937237,3.214493691,0.104173407,3.348430929,0.803623423,1.607246846,0.223228729,0.401811711,0.372047881,8.036234228
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47749726,0.266739846,22.22832053,0.355653128,18.67178924,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.96487377,0.270032931,22.50274424,0.360043908,18.90230516,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47749726,0.266739846,22.22832053,0.355653128,18.67178924,0.689097379,0.490024803,1.010676157,16.84460261,19.50145584,0.076566375,12.67939178,0.091879651,0.275638952,0.382831877,0.183759301,0.137819476,3.307667422,0.107192926,3.445486897,0.826916855,1.653833711,0.229699126,0.413458428,0.382831877,8.269168554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47749726,0.266739846,22.22832053,0.355653128,18.67178924,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.47749726,0.266739846,22.22832053,0.355653128,18.67178924,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.96487377,0.270032931,22.50274424,0.360043908,18.90230516,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.99012075,0.263446762,21.95389682,0.351262349,18.44127333,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
0.05689226,4.485006519,1.313263008,16.59357592,1.488680811,0.071115325,1.564537158,0.08533839,0.208604954,1.223183596,2.844613014,5.158231599,1.706767808,1.208960531,1.99122911,38.99012075,0.263446762,21.95389682,0.351262349,18.44127333,0.698802976,0.496926561,1.024911032,17.08185053,19.77612423,0.077644775,12.85797477,0.09317373,0.279521191,0.388223876,0.18634746,0.139760595,3.354254287,0.108702685,3.494014882,0.838563572,1.677127143,0.232934325,0.419281786,0.388223876,8.385635717
0.615858718,48.55019557,14.21607206,179.6254593,16.11496978,0.769823397,16.93611473,0.923788076,2.258148631,13.24096243,30.79293588,55.83785706,18.47576153,13.08699775,21.55505511,31.67947311,0.214050494,17.83754116,0.285400659,14.98353458,0.679391783,0.483123045,0.996441281,16.60735469,19.22678745,0.075487976,12.5008088,0.090585571,0.271756713,0.377439879,0.181171142,0.135878357,3.261080556,0.105683166,3.396958913,0.815270139,1.630540278,0.226463928,0.40763507,0.377439879,8.152701391
